Session: indicating the number of the experiment,,,,,,,,,,,,
Emotion: indicating the emotion of the viewed stimulus material  0: Fear 1: Sad 2: Neutral 3:Happy 4: Pride,,,,,,,,,,,,
Score: indicating the self-rating records for the stimulus material (The rating scale ranges from 0 to 9),,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Age,Gender,Handedness,Date,Session,Trial,Emotion,Score,,,,
104,22,male,right,5-20-2023,2,14,3,4,,,,
104,22,male,right,5-20-2023,2,15,0,7,,,,
104,22,male,right,5-31-2023,3,1,3,6,,,,
104,22,male,right,5-31-2023,3,2,4,7,,,,
104,22,male,right,5-31-2023,3,3,1,7,,,,
104,22,male,right,5-31-2023,3,4,2,9,,,,
104,22,male,right,5-31-2023,3,5,0,6,,,,
104,22,male,right,5-31-2023,3,6,1,4,,,,
104,22,male,right,5-31-2023,3,7,4,7,,,,
104,22,male,right,5-31-2023,3,8,2,9,,,,
104,22,male,right,5-31-2023,3,9,1,5,,,,
104,22,male,right,5-31-2023,3,10,0,7,,,,
104,22,male,right,5-31-2023,3,11,4,6,,,,
104,22,male,right,5-31-2023,3,12,2,9,,,,
104,22,male,right,5-31-2023,3,13,3,6,,,,
104,22,male,right,5-31-2023,3,14,0,5,,,,
104,22,male,right,5-31-2023,3,15,3,3,,,,
105,21,male,right,5-12-2023,1,1,1,8,,,,
105,21,male,right,5-12-2023,1,2,0,7,,,,
105,21,male,right,5-12-2023,1,3,4,8,,,,
105,21,male,right,5-12-2023,1,4,2,6,,,,
105,21,male,right,5-12-2023,1,5,3,5,,,,
105,21,male,right,5-12-2023,1,6,0,9,,,,
105,21,male,right,5-12-2023,1,7,3,4,,,,
105,21,male,right,5-12-2023,1,8,4,6,,,,
105,21,male,right,5-12-2023,1,9,1,4,,,,
105,21,male,right,5-12-2023,1,10,2,4,,,,
105,21,male,right,5-12-2023,1,11,0,2,,,,
105,21,male,right,5-12-2023,1,12,1,6,,,,
105,21,male,right,5-12-2023,1,13,4,5,,,,
105,21,male,right,5-12-2023,1,14,2,8,,,,
105,21,male,right,5-12-2023,1,15,3,3,,,,
105,21,male,right,5-22-2023,2,1,4,7,,,,
105,21,male,right,5-22-2023,2,2,1,4,,,,
105,21,male,right,5-22-2023,2,3,2,8,,,,
105,21,male,right,5-22-2023,2,4,3,3,,,,
105,21,male,right,5-22-2023,2,5,0,7,,,,
105,21,male,right,5-22-2023,2,6,3,5,,,,
105,21,male,right,5-22-2023,2,7,2,9,,,,
105,21,male,right,5-22-2023,2,8,4,7,,,,
105,21,male,right,5-22-2023,2,9,1,7,,,,
105,21,male,right,5-22-2023,2,10,0,8,,,,
105,21,male,right,5-22-2023,2,11,2,6,,,,
105,21,male,right,5-22-2023,2,12,1,4,,,,
105,21,male,right,5-22-2023,2,13,4,7,,,,
105,21,male,right,5-22-2023,2,14,3,5,,,,
105,21,male,right,5-22-2023,2,15,0,4,,,,
105,21,male,right,5-30-2023,3,1,3,4,,,,
105,21,male,right,5-30-2023,3,2,4,8,,,,
105,21,male,right,5-30-2023,3,3,1,5,,,,
105,21,male,right,5-30-2023,3,4,2,6,,,,
105,21,male,right,5-30-2023,3,5,0,3,,,,
105,21,male,right,5-30-2023,3,6,1,7,,,,
105,21,male,right,5-30-2023,3,7,4,9,,,,
105,21,male,right,5-30-2023,3,8,2,7,,,,
105,21,male,right,5-30-2023,3,9,1,6,,,,
105,21,male,right,5-30-2023,3,10,0,4,,,,
105,21,male,right,5-30-2023,3,11,4,3,,,,
105,21,male,right,5-30-2023,3,12,2,7,,,,
105,21,male,right,5-30-2023,3,13,3,7,,,,
105,21,male,right,5-30-2023,3,14,0,4,,,,
105,21,male,right,5-30-2023,3,15,3,7,,,,
106,25,female,right,5-13-2023,1,1,1,8,,,,
106,25,female,right,5-13-2023,1,2,0,9,,,,
106,25,female,right,5-13-2023,1,3,4,6,,,,
106,25,female,right,5-13-2023,1,4,2,4,,,,
106,25,female,right,5-13-2023,1,5,3,8,,,,
106,25,female,right,5-13-2023,1,6,0,9,,,,
106,25,female,right,5-13-2023,1,7,3,9,,,,
106,25,female,right,5-13-2023,1,8,4,5,,,,
106,25,female,right,5-13-2023,1,9,1,7,,,,
106,25,female,right,5-13-2023,1,10,2,6,,,,
106,25,female,right,5-13-2023,1,11,0,4,,,,
106,25,female,right,5-13-2023,1,12,1,4,,,,
106,25,female,right,5-13-2023,1,13,4,3,,,,
106,25,female,right,5-13-2023,1,14,2,7,,,,
106,25,female,right,5-13-2023,1,15,3,6,,,,
106,25,female,right,5-20-2023,2,1,4,6,,,,
106,25,female,right,5-20-2023,2,2,1,8,,,,
106,25,female,right,5-20-2023,2,3,2,6,,,,
106,25,female,right,5-20-2023,2,4,3,8,,,,
106,25,female,right,5-20-2023,2,5,0,9,,,,
106,25,female,right,5-20-2023,2,6,3,4,,,,
106,25,female,right,5-20-2023,2,7,2,5,,,,
106,25,female,right,5-20-2023,2,8,4,7,,,,
106,25,female,right,5-20-2023,2,9,1,7,,,,
106,25,female,right,5-20-2023,2,10,0,8,,,,
106,25,female,right,5-20-2023,2,11,2,6,,,,
106,25,female,right,5-20-2023,2,12,1,4,,,,
106,25,female,right,5-20-2023,2,13,4,6,,,,
106,25,female,right,5-20-2023,2,14,3,5,,,,
106,25,female,right,5-20-2023,2,15,0,7,,,,
106,25,female,right,5-28-2023,3,1,3,3,,,,
106,25,female,right,5-28-2023,3,2,4,5,,,,
106,25,female,right,5-28-2023,3,3,1,6,,,,
106,25,female,right,5-28-2023,3,4,2,4,,,,
106,25,female,right,5-28-2023,3,5,0,6,,,,
106,25,female,right,5-28-2023,3,6,1,5,,,,
106,25,female,right,5-28-2023,3,7,4,8,,,,
106,25,female,right,5-28-2023,3,8,2,5,,,,
106,25,female,right,5-28-2023,3,9,1,6,,,,
106,25,female,right,5-28-2023,3,10,0,5,,,,
106,25,female,right,5-28-2023,3,11,4,4,,,,
106,25,female,right,5-28-2023,3,12,2,6,,,,
106,25,female,right,5-28-2023,3,13,3,8,,,,
106,25,female,right,5-28-2023,3,14,0,4,,,,
106,25,female,right,5-28-2023,3,15,3,5,,,,
107,21,female,right,6-05-2023,1,1,1,7,,,,
107,21,female,right,6-05-2023,1,2,0,8,,,,
107,21,female,right,6-05-2023,1,3,4,7,,,,
107,21,female,right,6-05-2023,1,4,2,5,,,,
107,21,female,right,6-05-2023,1,5,3,7,,,,
107,21,female,right,6-05-2023,1,6,0,8,,,,
107,21,female,right,6-05-2023,1,7,3,6,,,,
107,21,female,right,6-05-2023,1,8,4,8,,,,
107,21,female,right,6-05-2023,1,9,1,8,,,,
107,21,female,right,6-05-2023,1,10,2,5,,,,
107,21,female,right,6-05-2023,1,11,0,7,,,,
107,21,female,right,6-05-2023,1,12,1,8,,,,
107,21,female,right,6-05-2023,1,13,4,6,,,,
107,21,female,right,6-05-2023,1,14,2,6,,,,
107,21,female,right,6-05-2023,1,15,3,6,,,,
107,21,female,right,5-23-2023,2,1,4,7,,,,
107,21,female,right,5-23-2023,2,2,1,7,,,,
